slope, srtm, tpi, twi, coarse, stream, hdist
0,0.63,0.87,0,0.58,0.84,0.4926364
0,0.62,0.87,0,0.58,0.84,0.4928097
0,0.62,0.87,0,0.59,0.84,0.4928186
0.01,0.63,0.87,0,0.58,0.84,0.492898
0,0.63,0.87,0.01,0.58,0.84,0.4929139
0,0.62,0.87,0.01,0.6,0.84,0.4929655
0.01,0.63,0.87,0.01,0.58,0.84,0.4929667
0.01,0.62,0.87,0,0.58,0.84,0.4929894
0,0.62,0.87,0,0.6,0.84,0.493004
0,0.62,0.87,0.01,0.59,0.84,0.4930068
0,0.63,0.87,0.01,0.59,0.84,0.493013
0,0.63,0.88,0.01,0.58,0.84,0.4930652
0,0.63,0.87,0,0.59,0.84,0.4930864
0,0.63,0.88,0,0.58,0.84,0.4931041
0.01,0.62,0.87,0.01,0.59,0.84,0.493135
0.01,0.62,0.87,0,0.59,0.84,0.4931742
0,0.62,0.88,0,0.58,0.84,0.4931962
0,0.62,0.87,0.02,0.6,0.84,0.4932016
0,0.63,0.88,0.02,0.59,0.84,0.4932094
0.02,0.63,0.87,0.01,0.58,0.84,0.493213
0,0.62,0.87,0.01,0.58,0.84,0.4932297
0,0.62,0.87,0.02,0.61,0.84,0.4932302
0,0.64,0.87,0.01,0.58,0.84,0.4932336
0.01,0.63,0.87,0.01,0.59,0.84,0.493234
0,0.62,0.87,0.01,0.58,0.83,0.4932427
0,0.64,0.87,0,0.58,0.84,0.4932427
0,0.63,0.88,0.01,0.59,0.84,0.4932482
0,0.64,0.88,0.01,0.58,0.84,0.4932509
0.02,0.63,0.87,0,0.58,0.84,0.4932523
0,0.64,0.88,0.02,0.58,0.84,0.4932735
0,0.62,0.87,0,0.58,0.83,0.4932825
0,0.63,0.88,0,0.59,0.84,0.4932875
0,0.63,0.87,0.02,0.58,0.84,0.4932962
0,0.62,0.87,0.01,0.61,0.84,0.4933034
0.01,0.63,0.87,0,0.59,0.84,0.4933078
0.01,0.62,0.87,0.02,0.6,0.84,0.4933129
